	index_date	index_value
0	Jan-09	82.025
1	Feb-09	83.90333333
2	Mar-09	83.72
3	Apr-09	83.865
4	May-09	85
5	Jun-09	87.02
6	Jul-09	85.9675
7	Aug-09	86.04
8	Sep-09	91.63333333
9	Oct-09	92.54
10	Nov-09	93.44
11	Dec-09	94.2925
12	Jan-10	96.33666667
13	Feb-10	95.1
14	Mar-10	92.91
15	Apr-10	95.74
16	May-10	94.5025
17	Jun-10	87.115
18	Jul-10	85.388
19	Aug-10	89.1275
20	Sep-10	77.8575
21	Oct-10	65.7975
22	Nov-10	74.485
23	Dec-10	78.266
24	Jan-11	86.5375
25	Feb-11	90.25666667
26	Mar-11	90.0775
27	Apr-11	92.532
28	May-11	94.2525
29	Jun-11	94.2725
30	Jul-11	93.788
31	Aug-11	94.13
32	Sep-11	93.795
33	Oct-11	87.59
34	Nov-11	90.5225
35	Dec-11	92.028
36	Jan-12	92.39
37	Feb-12	95.2875
38	Mar-12	97.085
39	Apr-12	97.5625
40	May-12	93.9475
41	Jun-12	93.97
42	Jul-12	94.6925
43	Aug-12	85.344
44	Sep-12	88.03
45	Oct-12	91.38666667
46	Nov-12	93.308
47	Dec-12	95.7775
48	Jan-13	97.76666667
49	Feb-13	97.77333333
50	Mar-13	93.562
51	Apr-13	94.5125
52	May-13	94.868
53	Jun-13	91.03
54	Jul-13	91.025
55	Aug-13	90.642
56	Sep-13	89.355
57	Oct-13	89.1225
58	Nov-13	90.78
59	Dec-13	88.7975
60	Jan-14	88.44
61	Feb-14	87.66
62	Mar-14	84.7425
63	Apr-14	84.7375
64	May-14	86.36
65	Jun-14	89.7725
66	Jul-14	93.3475
67	Aug-14	93.12
68	Sep-14	92.6975
69	Oct-14	89.4475
70	Nov-14	80.3575
71	Dec-14	94.805
72	Jan-15	91.69
73	Feb-15	87.01
74	Mar-15	87.8225
75	Apr-15	90.91
76	May-15	93.12
77	Jun-15	94.32
78	Jul-15	86.542
79	Aug-15	84.9125
80	Sep-15	82.32
81	Oct-15	85.2175
82	Nov-15	81.8625
83	Dec-15	78.05
84	Jan-16	78.538
85	Feb-16	81.8625
86	Mar-16	83.0825
87	Apr-16	80.368
88	May-16	83.845
89	Jun-16	76.375
90	Jul-16	80.124
91	Aug-16	85.065
92	Sep-16	85.126
93	Oct-16	80.49
94	Nov-16	77.2875
95	Dec-16	75.122
96	Jan-17	73.98333333
97	Feb-17	78.965
98	Mar-17	77.196
99	Apr-17	78.8125
100	May-17	78.2025
101	Jun-17	78.904
102	Jul-17	80.49
103	Aug-17	80.6425
104	Sep-17	80.368
105	Oct-17	74.79666667
106	Nov-17	56.4
107	Dec-17	45.486
108	Jan-18	50.7625
109	Feb-18	51.22
110	Mar-18	55.368
111	Apr-18	66.46
112	May-18	73.3225
113	Jun-18	75.854
114	Jul-18	68.9025
115	Aug-18	52.928
116	Sep-18	60.2175
117	Oct-18	60.98
118	Nov-18	58.662
119	Dec-18	54.7275
120	Jan-19	55.0325
121	Feb-19	59.15
122	Mar-19	55.49
123	Apr-19	61.1325
124	May-19	65.53
125	Jun-19	66.8525
126	Jul-19	57.6075
127	Aug-19	64.13
